Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
VIS,ILO_146_GPONA_01,ILO-146-VIS2584-ATN910C-01,Eth-Trunk5||GE0/2/6(10G),3763,3288,3121,400,-,-,10.168.56.204,10.175.77.9,10.54.124.0/22,10.73.159.0/24,25005892|26005892,25005893|26005893,25005894|26005894,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,10.46.0.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3288,SIP-80003288
VIS,ILO_146_HYB_01,ILO-146-VIS2584-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),2994,3786,3121,400,-,-,10.168.56.204,10.175.77.9,100.69.42.0/23,100.113.74.128/25,25004515|26004515,25004516|26004516,25004517|26004517,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3121,JMB_BNG-001,ET-5/3/0,HSI-3121,100.90.64.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3786,SIP-80003786
VIS,ILO_148_GPONA_01,ILO-148-VIS2585-ATN910C-01,Eth-Trunk4||GE0/2/4(10G),3759,3297,3125,400,-,-,10.175.77.69,10.168.56.218,10.54.100.0/22,10.73.153.0/24,25006064|26006064,25006065|26006065,25006066|26006066,"JMBASA-VIS927-AGGFMN-X16A-01
JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.3125
100GE3/0/0.3125
100GE2/1/0.3125","JMB_BNG-001
JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-5/3/0
ET-10/3/0","HSI-3125
HSI-3125
HSI-3125",10.192.32.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3297,SIP-80003297
VIS,ILO_150_GPONA_01,ILO-150-VIS2587-ATN910C-01,Eth-Trunk5||GE0/2/1(10G),3792,3781,128,400,-,-,10.175.77.69,10.168.56.218,10.116.176.0/22,10.119.44.0/24,25004177|26004177,25004178|26004178,25004179|26004179,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.128
100GE2/1/0.128","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-128
HSI-128",100.88.96.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3781,SIP-80003781
VIS,ILO_150_GPONA_02,ILO-150-VIS2587-ATN910C-01,Eth-Trunk7||GE0/2/4(10G),3759,3297,3125,400,-,-,10.175.77.69,10.168.56.218,10.54.40.0/22,10.73.138.0/24,25006082|26006082,25006083|26006083,25006084|26006084,"JMBASA-VIS927-AGGFMN-X16A-01
JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.3125
100GE3/0/0.3125
100GE2/1/0.3125","JMB_BNG-001
JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-5/3/0
ET-10/3/0","HSI-3125
HSI-3125
HSI-3125",10.192.32.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3297,SIP-80003297
VIS,ILO_150_VDB_01,ILO-150-VIS2587-ATN910C-01,Eth-Trunk4||GE0/2/8|GE0/2/9,3122,1685,3125,400,-,-,10.175.77.69,10.168.56.218,100.70.125.128/25,100.113.159.32/27,25003747|26003747,25003748|26003748,25003749|26003749,"JMBASA-VIS927-AGGFMN-X16A-01
JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.3125
100GE3/0/0.3125
100GE2/1/0.3125","JMB_BNG-001
JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-5/3/0
ET-10/3/0","HSI-3125
HSI-3125
HSI-3125",100.94.144.0/20,FORDBC-FMAGG-001-VIS817,VE1/0/0.1685,SIP-80001685
VIS,ILO_151_HYB_01,ILO-151-VIS2588-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),3122,"1685
3781",3125,400,-,-,10.175.77.69,10.168.56.218,10.227.136.0/22,10.202.186.0/24,25003738|26003738,"1685: 25003739|26003739
3781: 25004145|26004145",25003740|26003740,"JMBASA-VIS927-AGGFMN-X16A-01
JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.3125
100GE3/0/0.3125
100GE2/1/0.3125","JMB_BNG-001
JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-5/3/0
ET-10/3/0","HSI-3125
HSI-3125
HSI-3125","100.94.144.0/20
100.88.96.0/19","FORDBC-FMAGG-001-VIS817
FORDBC-FMAGG-001-VIS817","VE1/0/0.1685
VE1/0/0.3781","SIP-80001685
SIP-80003781"
VIS,ILO_153_GPONA_01,ILO-153-VIS2590-ATN910C-01,Eth-Trunk4||GE0/2/3(10G),-,3281,3125,400,-,-,10.168.56.218,10.175.77.69,10.54.80.0/22,10.73.148.0/24,-,25005485|26005485,25005486|26005486,"JMBASA-VIS927-AGGFMN-X16A-01
JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.3125
100GE3/0/0.3125
100GE2/1/0.3125","JMB_BNG-001
JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-5/3/0
ET-10/3/0","HSI-3125
HSI-3125
HSI-3125",100.127.160.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3281,SIP-80003281
VIS,ILO_156_GPONA_01,ILO-156-VIS2592-ATN910C-01,Eth-Trunk5||GE0/2/4(10G),3797,3776,2985,400,-,-,10.168.56.204,10.175.77.9,10.117.16.0/22,10.119.68.0/24,25004535|26004535,25004536|26004536,25004537|26004537,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.2985,JMB_BNG-001,ET-5/3/0,HSI-2985,100.88.192.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3776,SIP-80003776
VIS,ILO_156_GPONA_02,ILO-156-VIS2592-ATN910C-01,Eth-Trunk6||GE0/2/3(10G),1794,1813,2985,400,-,-,10.168.56.204,10.175.77.9,10.9.120.0/22,10.223.252.0/24,25008154|26008154,25008155|26008155,25008156|26008156,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.2985,JMB_BNG-001,ET-5/3/0,HSI-2985,100.92.224.0/20,FORDBC-FMAGG-001-VIS817,VE1/0/0.1813,SIP-80001813
