AREA,AGG HOMING,PORT,BNG HOMING,BNG PORT,
VIS,FORDBC-FMAGG-002-VIS817,100GE4/0/1,BCD_BAC_CGN_002_IPOE,ET-11/1/2,
VIS,FORDBC-FMAGG-002-VIS817,100GE3/0/28,BCD_BAC_CGN_002_IPOE,ET-1/1/2,
VIS,FORDBC-FMAGG-001-VIS817,100GE4/0/1,BCD_BAC_CGN_002_IPOE,ET-11/0/2,
VIS,JMBASA-FMAGG-001-VIS927,100GE2/0/15,ILO_JMB_CGN_002_IPOE,ET-1/0/2,
VIS,JMBASA-FMAGG-002-VIS927,100GE2/0/16,ILO_JMB_CGN_002_IPOE,ET-11/1/2,
VIS,JMBASA-FMAGG-001-VIS927,100GE2/0/16,ILO_JMB_CGN_002_IPOE,ET-1/1/2,
VIS,JMBASA-FMAGG-002-VIS927,100GE2/0/15,ILO_JMB_CGN_002_IPOE,ET-11/0/2,
MIN,BTN-FMAGG-001-MIN1347,100GE1/0/31,BTN_BTN_CGN_001_IPOE,ET-1/0/2,
MIN,BTN-FMAGG-002-MIN1347,100GE2/0/4,BTN_BTN_CGN_001_IPOE,ET-11/1/2,
MIN,BTN-FMAGG-002-MIN1347,100GE1/0/31,BTN_BTN_CGN_001_IPOE,ET-1/1/2,
MIN,BTN-FMAGG-001-MIN1347,100GE2/0/4,BTN_BTN_CGN_001_IPOE,ET-11/0/2,
MIN,BTN-FMAGG-001-MIN1347,100GE1/0/32,BTN_BTN_CGN_002_IPOE,ET-1/0/2,
MIN,BTN-FMAGG-002-MIN1347,100GE2/0/5,BTN_BTN_CGN_002_IPOE,ET-11/1/2,
MIN,BTN-FMAGG-002-MIN1347,100GE1/0/32,BTN_BTN_CGN_002_IPOE,ET-1/1/2,
MIN,BTN-FMAGG-001-MIN1347,100GE2/0/5,BTN_BTN_CGN_002_IPOE,ET-11/0/2,
